TITLE,BSA-EGCG-ex_ex_2.5nm_Sen_High
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,50 mM Na Phosphate, pH 7
DATE,22/03/07
TIME,10:27:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  500.0000
NPOINTS,     201
FIRSTY,    26.60699
MAXY,    42.18755
MINY,    12.27982
XYDATA
300.0000,26.607
301.0000,28.7083
302.0000,30.9856
303.0000,32.8339
304.0000,33.894
305.0000,34.68
306.0000,34.7573
307.0000,34.5732
308.0000,34.4592
309.0000,34.823
310.0000,35.9145
311.0000,36.418
312.0000,36.7219
313.0000,37.1317
314.0000,36.5248
315.0000,36.3132
316.0000,34.6612
317.0000,33.0445
318.0000,32.3068
319.0000,31.6437
320.0000,31.5691
321.0000,32.4932
322.0000,32.9616
323.0000,33.3081
324.0000,34.0377
325.0000,34.6333
326.0000,35.0011
327.0000,34.8763
328.0000,35.7681
329.0000,36.1379
330.0000,36.1615
331.0000,36.423
332.0000,38.0098
333.0000,38.344
334.0000,39.4183
335.0000,39.8122
336.0000,40.5935
337.0000,39.3459
338.0000,40.6664
339.0000,41.2805
340.0000,41.7569
341.0000,42.1875
342.0000,41.6625
343.0000,41.5188
344.0000,41.0043
345.0000,41.4843
346.0000,41.4943
347.0000,41.1338
348.0000,41.2699
349.0000,40.8272
350.0000,40.1148
351.0000,40.0734
352.0000,39.747
353.0000,40.256
354.0000,40.1686
355.0000,39.6472
356.0000,39.8285
357.0000,39.4167
358.0000,39.977
359.0000,39.8333
360.0000,39.6703
361.0000,39.0533
362.0000,39.121
363.0000,38.3318
364.0000,37.7755
365.0000,38.0932
366.0000,38.5335
367.0000,37.7328
368.0000,37.6506
369.0000,36.4711
370.0000,36.6905
371.0000,36.095
372.0000,35.5089
373.0000,35.5966
374.0000,35.6229
375.0000,35.7656
376.0000,36.5729
377.0000,36.2307
378.0000,35.8328
379.0000,36.072
380.0000,35.8673
381.0000,34.9715
382.0000,34.1827
383.0000,34.2785
384.0000,33.759
385.0000,34.3417
386.0000,32.8947
387.0000,32.7663
388.0000,32.6231
389.0000,32.6639
390.0000,32.1906
391.0000,32.4754
392.0000,31.1888
393.0000,31.8865
394.0000,31.9233
395.0000,31.7556
396.0000,31.7668
397.0000,31.9389
398.0000,31.913
399.0000,31.9724
400.0000,32.1809
401.0000,32.1152
402.0000,32.514
403.0000,32.2186
404.0000,32.2061
405.0000,31.6933
406.0000,31.6409
407.0000,30.8002
408.0000,30.3277
409.0000,28.7083
410.0000,27.9813
411.0000,27.3824
412.0000,26.74
413.0000,26.0541
414.0000,26.1357
415.0000,26.2917
416.0000,25.1386
417.0000,24.7378
418.0000,23.7634
419.0000,24.2457
420.0000,24.2289
421.0000,23.8439
422.0000,23.8194
423.0000,23.7059
424.0000,23.9261
425.0000,23.7154
426.0000,24.0785
427.0000,24.1564
428.0000,24.123
429.0000,24.5931
430.0000,23.8667
431.0000,22.7472
432.0000,22.365
433.0000,22.8428
434.0000,23.1279
435.0000,22.2533
436.0000,21.4285
437.0000,21.3907
438.0000,20.614
439.0000,20.3291
440.0000,20.0253
441.0000,20.2052
442.0000,19.6072
443.0000,19.3557
444.0000,18.5774
445.0000,17.8425
446.0000,17.7473
447.0000,18.2691
448.0000,18.4751
449.0000,17.9655
450.0000,17.6052
451.0000,17.8265
452.0000,17.4868
453.0000,17.4961
454.0000,17.4031
455.0000,17.0972
456.0000,16.6298
457.0000,16.4078
458.0000,16.2371
459.0000,15.9958
460.0000,15.615
461.0000,16.1509
462.0000,16.1425
463.0000,15.7369
464.0000,16.0873
465.0000,16.3557
466.0000,16.2136
467.0000,16.2889
468.0000,16.2987
469.0000,15.7932
470.0000,15.3497
471.0000,15.6649
472.0000,16.5278
473.0000,17.3022
474.0000,17.6581
475.0000,17.6579
476.0000,18.4723
477.0000,18.9035
478.0000,18.8927
479.0000,18.6757
480.0000,17.6567
481.0000,17.1884
482.0000,17.1297
483.0000,16.753
484.0000,16.3406
485.0000,16.2856
486.0000,16.4526
487.0000,16.4161
488.0000,15.7577
489.0000,14.8926
490.0000,14.6575
491.0000,14.4415
492.0000,14.0609
493.0000,13.4963
494.0000,13.1318
495.0000,12.5133
496.0000,13.3273
497.0000,13.0556
498.0000,12.6382
499.0000,12.2798
500.0000,12.4748

##### Extended Information
[Comments]
Sample name,BSA-EGCG-ex_ex_2.5nm_Sen_High
Comment,BSA-EGCG-Response-0.5sec
User,Dexter Dean - March 7, 2022
Division,50 mM Na Phosphate, pH 7
Company,Georgia Institute of Technology

[Detailed Information]
Creation date,3/7/2022 10:27 AM

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,Int.
Start,300 nm
End,500 nm
Data interval,1 nm
Data points,201     

[Measurement Information]
Model name,FP-8200
Serial No.,C023861448
  Ex filter holder,None
  Em filter holder,None

Accessory,SCE-845
Accessory S/N,C023861448
  Attachment,Standard Cell Block

Measurement date,3/7/2022 10:27 AM

Mode,Emission
Ex bandwidth,2.5 nm
Em bandwidth,2.5 nm
Response,0.5 sec
Sensitivity,High
Measurement range,300 - 500 nm
Data interval,1 nm
Ex wavelength,280.0 nm
Scan speed,2000 nm/min
Auto gain,Off
Shutter control,Open only for measurement
Light source,Xe lamp
Filter,Not used
Blank correction,Off

